Last login: Sat Dec  3 16:14:55 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -p -sb
Instance: 1	Execution time: 0.321s	Best objective value: 8
Instance: 2	Execution time: 0.333s	Best objective value: 9
Instance: 3	Execution time: 0.357s	Best objective value: 10
Instance: 4	Execution time: 0.344s	Best objective value: 11
Instance: 5	Execution time: 0.334s	Best objective value: 12
Instance: 6	Execution time: 0.368s	Best objective value: 13
Instance: 7	Execution time: 0.341s	Best objective value: 14
Instance: 8	Execution time: 0.339s	Best objective value: 15
Instance: 9	Execution time: 0.366s	Best objective value: 16
Instance: 10	Execution time: 0.349s	Best objective value: 17
Instance: 11	Execution time: 0.688s	Best objective value: 18
Instance: 12	Execution time: 0.460s	Best objective value: 19
Instance: 13	Execution time: 0.375s	Best objective value: 20
Instance: 14	Execution time: 0.353s	Best objective value: 21
Instance: 15	Execution time: 0.366s	Best objective value: 22
Instance: 16	Execution time: 0.794s	Best objective value: 23
Instance: 17	Execution time: 0.728s	Best objective value: 24
Instance: 18	Execution time: 0.992s	Best objective value: 25
Instance: 19	Execution time: 1.974s	Best objective value: 26
Instance: 20	Execution time: 1.770s	Best objective value: 27
Instance: 21	Execution time: 2.426s	Best objective value: 28
Instance: 22	Execution time: 3.826s	Best objective value: 29
Instance: 23	Execution time: 1.982s	Best objective value: 30
Instance: 24	Execution time: 1.184s	Best objective value: 31
Instance: 25	Execution time: 11.471s	Best objective value: 32
Instance: 26	Execution time: 0.434s	Best objective value: 33
Instance: 27	Execution time: 2.317s	Best objective value: 34
Instance: 28	Execution time: 1.641s	Best objective value: 35
Instance: 29	Execution time: 3.505s	Best objective value: 36
Instance: 30	Execution time: 128.661s	Best objective value: 37
Instance: 31	Execution time: 0.854s	Best objective value: 38
Instance: 32	Execution time: 195.527s	Best objective value: 39
Instance: 33	Execution time: 1.767s	Best objective value: 40
Instance: 34	Execution time: 2.712s	Best objective value: 40
Instance: 35	Execution time: 2.621s	Best objective value: 40
Instance: 36	Execution time: 1.102s	Best objective value: 40
Instance: 37	Execution time: 62.537s	Best objective value: 60
Instance: 38	Time exceeded	Execution time: 301.141s
Instance: 39	Execution time: 5.977s	Best objective value: 60
Instance: 40	Time exceeded	Execution time: 301.500s
claminos@MacBook-Pro-di-Simona CP % 
