Last login: Sat Dec  3 16:34:30 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -p -r 
Instance: 1	Execution time: 0.321s	Best objective value: 8
Instance: 2	Execution time: 0.336s	Best objective value: 9
Instance: 3	Execution time: 0.335s	Best objective value: 10
Instance: 4	Execution time: 0.363s	Best objective value: 11
Instance: 5	Execution time: 0.390s	Best objective value: 12
Instance: 6	Execution time: 0.395s	Best objective value: 13
Instance: 7	Execution time: 0.427s	Best objective value: 14
Instance: 8	Execution time: 0.434s	Best objective value: 15
Instance: 9	Execution time: 0.427s	Best objective value: 16
Instance: 10	Execution time: 0.583s	Best objective value: 17
Instance: 11	Execution time: 1.055s	Best objective value: 18
Instance: 12	Execution time: 0.755s	Best objective value: 19
Instance: 13	Execution time: 0.608s	Best objective value: 20
Instance: 14	Execution time: 0.835s	Best objective value: 21
Instance: 15	Execution time: 0.936s	Best objective value: 22
Instance: 16	Execution time: 4.715s	Best objective value: 23
Instance: 17	Execution time: 2.731s	Best objective value: 24
Instance: 18	Execution time: 11.265s	Best objective value: 25
Instance: 19	Execution time: 112.361s	Best objective value: 26
Instance: 20	Execution time: 22.868s	Best objective value: 27
Instance: 21	Execution time: 10.552s	Best objective value: 28
Instance: 22	Time exceeded	Execution time: 301.125s
Instance: 23	Execution time: 1.075s	Best objective value: 30
Instance: 24	Execution time: 2.234s	Best objective value: 31
Instance: 25	Time exceeded	Execution time: 301.158s
Instance: 26	Execution time: 2.179s	Best objective value: 33
Instance: 27	Execution time: 2.043s	Best objective value: 34
Instance: 28	Execution time: 3.304s	Best objective value: 35
Instance: 29	Execution time: 23.513s	Best objective value: 36
Instance: 30	Execution time: 134.614s	Best objective value: 37
Instance: 31	Execution time: 1.713s	Best objective value: 38
Instance: 32	Time exceeded	Execution time: 301.161s
Instance: 33	Execution time: 5.805s	Best objective value: 40
Instance: 34	Execution time: 13.133s	Best objective value: 40
Instance: 35	Execution time: 10.909s	Best objective value: 40
Instance: 36	Execution time: 2.544s	Best objective value: 40
Instance: 37	Time exceeded	Execution time: 301.157s
Instance: 38	Time exceeded	Execution time: 301.159s
Instance: 39	Time exceeded	Execution time: 301.165s
Instance: 40	Time exceeded	Execution time: 301.617s
claminos@MacBook-Pro-di-Simona CP % 
