Last login: Sat Dec  3 17:00:27 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -p -r -sb
Instance: 1	Execution time: 0.323s	Best objective value: 8
Instance: 2	Execution time: 0.342s	Best objective value: 9
Instance: 3	Execution time: 0.353s	Best objective value: 10
Instance: 4	Execution time: 0.366s	Best objective value: 11
Instance: 5	Execution time: 0.383s	Best objective value: 12
Instance: 6	Execution time: 0.415s	Best objective value: 13
Instance: 7	Execution time: 0.385s	Best objective value: 14
Instance: 8	Execution time: 0.422s	Best objective value: 15
Instance: 9	Execution time: 0.473s	Best objective value: 16
Instance: 10	Execution time: 0.469s	Best objective value: 17
Instance: 11	Execution time: 1.604s	Best objective value: 18
Instance: 12	Execution time: 0.545s	Best objective value: 19
Instance: 13	Execution time: 0.618s	Best objective value: 20
Instance: 14	Execution time: 1.029s	Best objective value: 21
Instance: 15	Execution time: 0.976s	Best objective value: 22
Instance: 16	Execution time: 1.145s	Best objective value: 23
Instance: 17	Execution time: 1.859s	Best objective value: 24
Instance: 18	Execution time: 4.802s	Best objective value: 25
Instance: 19	Execution time: 8.674s	Best objective value: 26
Instance: 20	Execution time: 2.408s	Best objective value: 27
Instance: 21	Execution time: 22.823s	Best objective value: 28
Instance: 22	Execution time: 38.061s	Best objective value: 29
Instance: 23	Execution time: 8.974s	Best objective value: 30
Instance: 24	Execution time: 1.067s	Best objective value: 31
Instance: 25	Time exceeded	Execution time: 301.156s
Instance: 26	Execution time: 60.767s	Best objective value: 33
Instance: 27	Execution time: 17.289s	Best objective value: 34
Instance: 28	Execution time: 6.956s	Best objective value: 35
Instance: 29	Execution time: 2.525s	Best objective value: 36
Instance: 30	Time exceeded	Execution time: 301.158s
Instance: 31	Execution time: 8.487s	Best objective value: 38
Instance: 32	Time exceeded	Execution time: 301.162s
Instance: 33	Execution time: 1.736s	Best objective value: 40
Instance: 34	Execution time: 3.772s	Best objective value: 40
Instance: 35	Execution time: 5.587s	Best objective value: 40
Instance: 36	Execution time: 2.605s	Best objective value: 40
Instance: 37	Time exceeded	Execution time: 301.167s
Instance: 38	Execution time: 275.531s	Best objective value: 60
Instance: 39	Execution time: 86.407s	Best objective value: 60
Instance: 40	Time exceeded	Execution time: 301.633s
claminos@MacBook-Pro-di-Simona CP % 
