Last login: Sat Dec  3 18:51:42 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -p -s gecode
Instance: 1	Execution time: 0.466s	Best objective value: 8
Instance: 2	Execution time: 0.432s	Best objective value: 9
Instance: 3	Execution time: 0.423s	Best objective value: 10
Instance: 4	Execution time: 0.414s	Best objective value: 11
Instance: 5	Execution time: 0.419s	Best objective value: 12
Instance: 6	Execution time: 0.422s	Best objective value: 13
Instance: 7	Execution time: 0.419s	Best objective value: 14
Instance: 8	Execution time: 0.412s	Best objective value: 15
Instance: 9	Execution time: 0.427s	Best objective value: 16
Instance: 10	Execution time: 0.410s	Best objective value: 17
Instance: 11	Execution time: 181.248s	Best objective value: 18
Instance: 12	Execution time: 0.479s	Best objective value: 19
Instance: 13	Execution time: 0.443s	Best objective value: 20
Instance: 14	Execution time: 0.460s	Best objective value: 21
Instance: 15	Execution time: 0.480s	Best objective value: 22
Instance: 16	Execution time: 203.719s	Best objective value: 23
Instance: 17	Execution time: 3.413s	Best objective value: 24
Instance: 18	Execution time: 1.121s	Best objective value: 25
Instance: 19	Execution time: 172.579s	Best objective value: 26
Instance: 20	Execution time: 29.640s	Best objective value: 27
Instance: 21	Execution time: 7.452s	Best objective value: 28
Instance: 22	Execution time: 290.004s	Best objective value: 29
Instance: 23	Execution time: 200.554s	Best objective value: 30
Instance: 24	Execution time: 8.764s	Best objective value: 31
Instance: 25	No solution found	Execution time: 301.118s
Instance: 26	Execution time: 0.376s	Best objective value: 33
Instance: 27	Execution time: 27.389s	Best objective value: 34
Instance: 28	No solution found	Execution time: 301.110s
Instance: 29	No solution found	Execution time: 301.130s
Instance: 30	No solution found	Execution time: 301.112s
Instance: 31	No solution found	Execution time: 301.112s
Instance: 32	No solution found	Execution time: 301.089s
Instance: 33	No solution found	Execution time: 301.113s
Instance: 34	No solution found	Execution time: 301.112s
Instance: 35	No solution found	Execution time: 301.092s
Instance: 36	No solution found	Execution time: 301.109s
Instance: 37	No solution found	Execution time: 301.110s
Instance: 38	No solution found	Execution time: 301.114s
Instance: 39	No solution found	Execution time: 301.110s
Instance: 40	No solution found	Execution time: 301.111s
claminos@MacBook-Pro-di-Simona CP % 
