Last login: Sun Nov 27 18:14:05 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -s chuffed -p
Instance: 1	Execution time: 0.276s	Best objective value: 8
Instance: 2	Execution time: 0.295s	Best objective value: 9
Instance: 3	Execution time: 0.313s	Best objective value: 10
Instance: 4	Execution time: 0.338s	Best objective value: 11
Instance: 5	Execution time: 0.319s	Best objective value: 12
Instance: 6	Execution time: 0.332s	Best objective value: 13
Instance: 7	Execution time: 0.320s	Best objective value: 14
Instance: 8	Execution time: 0.357s	Best objective value: 15
Instance: 9	Execution time: 0.365s	Best objective value: 16
Instance: 10	Execution time: 0.359s	Best objective value: 17
Instance: 11	Execution time: 0.546s	Best objective value: 18
Instance: 12	Execution time: 0.400s	Best objective value: 19
Instance: 13	Execution time: 0.337s	Best objective value: 20
Instance: 14	Execution time: 0.381s	Best objective value: 21
Instance: 15	Execution time: 0.357s	Best objective value: 22
Instance: 16	Execution time: 0.501s	Best objective value: 23
Instance: 17	Execution time: 0.785s	Best objective value: 24
Instance: 18	Execution time: 0.642s	Best objective value: 25
Instance: 19	Execution time: 0.858s	Best objective value: 26
Instance: 20	Execution time: 0.451s	Best objective value: 27
Instance: 21	Execution time: 1.706s	Best objective value: 28
Instance: 22	Execution time: 1.325s	Best objective value: 29
Instance: 23	Execution time: 1.282s	Best objective value: 30
Instance: 24	Execution time: 0.848s	Best objective value: 31
Instance: 25	Execution time: 52.635s	Best objective value: 32
Instance: 26	Execution time: 1.041s	Best objective value: 33
Instance: 27	Execution time: 1.304s	Best objective value: 34
Instance: 28	Execution time: 0.906s	Best objective value: 35
Instance: 29	Execution time: 2.452s	Best objective value: 36
Instance: 30	Execution time: 81.929s	Best objective value: 37
Instance: 31	Execution time: 1.181s	Best objective value: 38
Instance: 32	Execution time: 275.276s	Best objective value: 39
Instance: 33	Execution time: 1.839s	Best objective value: 40
Instance: 34	Execution time: 2.844s	Best objective value: 40
Instance: 35	Execution time: 0.614s	Best objective value: 40
Instance: 36	Execution time: 1.061s	Best objective value: 40
Instance: 37	Execution time: 174.337s	Best objective value: 60
Instance: 38	Time exceeded
Instance: 39	Execution time: 6.160s	Best objective value: 60
Instance: 40	Time exceeded
claminos@MacBook-Pro-di-Simona CP % 
