Last login: Tue Nov 29 11:00:31 on ttys000
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -s gecode -sb -p
Instance: 1	Execution time: 0.662s	Best objective value: 8
Instance: 2	Execution time: 0.503s	Best objective value: 9
Instance: 3	Execution time: 0.523s	Best objective value: 10
Instance: 4	Execution time: 0.528s	Best objective value: 11
Instance: 5	Execution time: 0.579s	Best objective value: 12
Instance: 6	Execution time: 0.538s	Best objective value: 13
Instance: 7	Execution time: 0.541s	Best objective value: 14
Instance: 8	Execution time: 0.521s	Best objective value: 15
Instance: 9	Execution time: 0.541s	Best objective value: 16
Instance: 10	Execution time: 0.533s	Best objective value: 17
Instance: 11	Execution time: 227.691s	Best objective value: 18
Instance: 12	Execution time: 0.576s	Best objective value: 19
Instance: 13	Execution time: 0.550s	Best objective value: 20
Instance: 14	Execution time: 0.564s	Best objective value: 21
Instance: 15	Execution time: 0.573s	Best objective value: 22
Instance: 16	Execution time: 262.407s	Best objective value: 23
Instance: 17	Execution time: 4.281s	Best objective value: 24
Instance: 18	Execution time: 1.343s	Best objective value: 25
Instance: 19	Execution time: 219.593s	Best objective value: 26
Instance: 20	Execution time: 37.453s	Best objective value: 27
Instance: 21	Execution time: 9.405s	Best objective value: 28
Instance: 22	Time exceeded	Execution time: 301.165s
Instance: 23	Execution time: 292.223s	Best objective value: 30
Instance: 24	Execution time: 33.963s	Best objective value: 33
Instance: 25	Time exceeded	Execution time: 301.282s
Instance: 26	Execution time: 1.022s	Best objective value: 33
Instance: 27	Execution time: 40.298s	Best objective value: 34
Instance: 28	Time exceeded	Execution time: 301.164s
Instance: 29	Time exceeded	Execution time: 301.170s
Instance: 30	Execution time: 222.988s	Best objective value: 38
Instance: 31	Time exceeded	Execution time: 301.173s
Instance: 32	Time exceeded	Execution time: 301.170s
Instance: 33	Time exceeded	Execution time: 301.174s
Instance: 34	Time exceeded	Execution time: 301.168s
Instance: 35	Execution time: 115.867s	Best objective value: 41
Instance: 36	Time exceeded	Execution time: 301.178s
Instance: 37	Time exceeded	Execution time: 301.160s
Instance: 38	Time exceeded	Execution time: 301.165s
Instance: 39	Time exceeded	Execution time: 301.151s
Instance: 40	Time exceeded	Execution time: 301.164s
claminos@MacBook-Pro-di-Simona CP % 
