- - -
 Test : 2022-12-02 09:42:14.256981
1 8 0.015200099999999939 VALID
2 9 0.17144460000000006 VALID
3 10 0.02502890000000013 VALID
4 11 0.022749800000000153 VALID
5 12 0.05863609999999975 VALID
6 13 0.016196199999999994 VALID
7 14 0.10099679999999989 VALID
8 15 0.09827379999999941 VALID
9 16 0.07915030000000023 VALID
10 17 0.021419999999999995 VALID
11 18 3.4673765999999997 VALID
12 19 0.26677570000000017 VALID
13 20 0.6871908999999992 VALID
14 21 0.4949686999999994 VALID
15 22 0.21441070000000018 VALID
16 23 3.7314002000000013 VALID
17 24 13.634717299999998 VALID
18 25 11.644209799999999 VALID
19 26 205.2545928 VALID
20 27 35.9845057 VALID
21 28 168.52764000000002 VALID
22 30 300.0551823 VALID
23 30 47.55405600000006 VALID
24 31 32.82816679999996 VALID
25 33 300.05135370000005 VALID
26 33 124.12695989999997 VALID
27 34 57.608269199999995 VALID
28 35 6.258418200000051 VALID
29 36 43.75713449999989 VALID
30 38 300.05017009999983 VALID
31 38 3.6649474999999256 VALID
32 40 300.0570376999999 VALID
33 40 5.161290599999802 VALID
34 40 235.2336237999998 VALID
35 40 68.75687509999989 VALID
36 40 26.866793400000006 VALID
37 62 300.04723980000017 VALID
38 62 300.0957142000002 VALID
39 60 295.9084576999999 VALID
40 101 300.05394430000024 VALID

- - -
 Test : 2022-12-03 18:36:37.204705
1 8 0.0031342999999999233 VALID
2 9 0.0061261999999999706 VALID
3 10 0.006654399999999949 VALID
4 11 0.006298000000000137 VALID
5 12 0.016845099999999835 VALID
6 13 0.006988800000000017 VALID
7 14 0.05194359999999998 VALID
8 15 0.0559056 VALID
9 16 0.04011370000000003 VALID
10 17 0.011200199999999993 VALID
11 18 2.0724966000000005 VALID
12 19 0.17114209999999996 VALID
13 20 0.48096929999999993 VALID
14 21 0.3344963999999999 VALID
15 22 0.1572142000000003 VALID
16 23 2.3795819 VALID
17 24 8.0118962 VALID
18 25 6.1192317 VALID
19 26 124.24521960000001 VALID
20 27 21.4428968 VALID
21 28 110.80504439999999 VALID
22 30 300.0087442 VALID
23 30 30.73942050000005 VALID
24 31 22.036281799999983 VALID
25 33 300.0213571999999 VALID
26 33 124.02948959999992 VALID
27 34 57.565080999999964 VALID
28 35 6.103936100000055 VALID
29 36 43.324885300000005 VALID
30 38 300.03466950000006 VALID
31 38 3.3485465999999633 VALID
32 40 300.0296916 VALID
33 40 5.029394799999864 VALID
34 40 232.06508800000006 VALID
35 40 67.88412960000005 VALID
36 40 27.64805830000023 VALID
37 62 300.0282959000001 VALID
38 62 300.0342863999999 VALID
39 60 295.01454209999974 VALID
40 101 300.06245199999967 VALID

- - -
 Test : 2022-12-04 10:30:49.266044
1 8 0.0030077000000000575 VALID
2 9 0.005750300000000097 VALID
3 10 0.006005500000000108 VALID
4 11 0.00531959999999998 VALID
5 12 0.017771200000000098 VALID
6 13 0.007085600000000136 VALID
7 14 0.05688430000000011 VALID
8 15 0.0557059000000002 VALID
9 16 0.039562899999999956 VALID
10 17 0.012130999999999892 VALID
11 18 14.659877400000001 VALID
12 19 0.135516599999999 VALID
13 20 0.35650830000000155 VALID
14 21 2.3214602999999983 VALID
15 22 0.10769499999999965 VALID
16 23 0.6764006000000009 VALID
17 24 1.3771702999999995 VALID
18 25 29.874681399999997 VALID
19 26 107.9979453 VALID
20 27 19.351270700000015 VALID
21 28 27.396907199999987 VALID
22 30 300.0323126 VALID
23 30 27.97208880000005 VALID
24 31 8.13389600000005 VALID
25 33 300.04562569999996 VALID
26 33 129.85822529999996 VALID
27 34 21.2976721 VALID
28 35 61.99828660000003 VALID
29 36 9.897352700000056 VALID
30 38 300.03676070000006 VALID
31 38 5.097782400000142 VALID
32 41 300.0432504999999 VALID
33 40 8.177429999999958 VALID
34 40 89.50486710000018 VALID
35 41 300.0433848 VALID
36 40 10.80408000000034 VALID
37 62 300.0462542999999 VALID
38 61 300.12324420000004 VALID
39 62 300.57294950000005 VALID
40 101 300.6543743000002 VALID

- - -
 Test : 2022-12-04 12:18:42.963352
1 8 0.0024089999999999945 VALID
2 9 0.005674999999999986 VALID
3 10 0.005711999999999939 VALID
4 11 0.006434799999999852 VALID
5 12 0.017654700000000023 VALID
6 13 0.008479600000000032 VALID
7 14 0.04788440000000005 VALID
8 15 0.05489529999999987 VALID
9 16 0.042898400000000114 VALID
10 17 0.009719799999999612 VALID
11 18 2.3928367 VALID
12 19 0.1842473 VALID
13 20 0.48928750000000054 VALID
14 21 0.30914149999999996 VALID
15 22 0.14229819999999993 VALID
16 23 2.3117038 VALID
17 24 7.837075200000001 VALID
18 25 5.246001499999998 VALID
19 26 252.88352740000002 VALID
20 27 45.622043399999995 VALID
21 28 237.3114185 VALID
22 30 300.34595049999996 VALID
23 30 65.43924040000002 VALID
24 31 47.035323399999925 VALID
25 33 300.10972979999997 VALID
26 33 230.44715669999982 VALID
27 34 94.72234290000006 VALID
28 35 9.802856900000052 VALID
29 36 80.85465959999988 VALID
30 38 300.07413109999993 VALID
31 38 10.661860400000023 VALID
32 40 300.2390963999999 VALID
33 40 13.805316500000117 VALID
34 41 300.01589160000003 VALID
35 41 300.0358831999997 VALID
36 40 21.652371399999993 VALID
37 61 300.0508206999998 VALID
38 61 300.0917451999999 VALID
39 60 296.61332809999976 VALID
40 100 300.10169929999984 VALID

- - -
 Test : 2022-12-04 16:25:09.273137
1 8 0.007281299999999824 VALID
2 9 0.012651700000000154 VALID
3 10 0.007536500000000057 VALID
4 11 0.02393640000000019 VALID
5 12 0.03505709999999995 VALID
6 13 0.05061060000000017 VALID
7 14 0.11890979999999995 VALID
8 15 0.3767160999999999 VALID
9 16 0.07904540000000004 VALID
10 17 0.024767100000000042 VALID
11 18 3.7063412 VALID
12 19 0.8156777000000002 VALID
13 20 1.4306684 VALID
14 21 0.9204293999999997 VALID
15 22 0.6639820000000007 VALID
16 23 6.185938499999999 VALID
17 24 12.798674900000002 VALID
18 25 13.749059600000002 VALID
19 26 219.70229930000002 VALID
20 27 52.474674300000004 VALID
21 28 210.33948890000005 VALID
22 30 300.062092 VALID
23 30 62.17277749999994 VALID
24 31 32.33210840000004 VALID
25 33 300.46964879999996 VALID
26 33 233.30788789999997 VALID
27 34 103.54532199999994 VALID
28 35 12.628621099999918 VALID
29 36 96.23360219999995 VALID
30 38 300.3034574999999 VALID
31 38 5.032033599999977 VALID
32 40 300.4172217999999 VALID
33 40 11.901292099999864 VALID
34 40 300.0324340000002 VALID
35 40 120.63734920000024 VALID
36 40 56.02120130000003 VALID
37 62 300.54676659999996 VALID
38 62 300.7209198999999 VALID
39 61 300.0924513 VALID
40 102 300.0756362000002 VALID

- - -
 Test : 2022-12-04 18:29:53.922946

- - -
 Test : 2022-12-04 18:30:34.700588
5 12 0.036221100000000006 VALID

- - -
 Test : 2022-12-04 18:33:04.225159

- - -
 Test : 2022-12-04 18:39:06.383324
5 12 0.04335029999999995 VALID

- - -
 Test : 2022-12-04 18:40:03.105291
22 29 45.6910167 VALID

- - -
 Test : 2022-12-04 18:41:19.396552
40 108 300.0885316 VALID

- - -
 Test : 2022-12-04 18:51:21.221007
36 40 10.3604025 VALID

- - -
 Test : 2022-12-04 18:53:06.856232
37 62 300.094987 VALID

- - -
 Test : 2022-12-04 19:06:32.349370
1 8 0.006122800000000095 VALID
2 9 0.007669200000000043 VALID
3 10 0.00772280000000003 VALID
4 11 0.03889779999999998 VALID
5 12 0.03165629999999986 VALID
6 13 0.015371000000000024 VALID
7 14 0.03008910000000009 VALID
8 15 0.05891139999999995 VALID
9 16 0.1769904 VALID
10 17 0.2093341999999998 VALID
11 18 1.0841154999999998 VALID
12 19 1.4751190999999997 VALID
13 20 1.0402466000000006 VALID
14 21 2.5558114000000005 VALID
15 22 2.4234687999999984 VALID
16 23 10.184420999999999 VALID
17 24 3.1007704999999994 VALID
18 25 10.3173508 VALID
19 27 300.0759775 VALID
20 27 71.10597229999996 VALID
21 29 300.03174210000003 VALID
22 29 46.711775999999986 VALID
23 30 6.3369001999999455 VALID
24 31 4.835219400000028 VALID
25 33 300.05052979999994 VALID
26 33 238.60145809999995 VALID
27 34 5.478458199999977 VALID
28 35 9.210996099999875 VALID
29 36 52.19022289999998 VALID
30 38 300.0641232999999 VALID
31 38 8.447264899999936 VALID
32 41 300.0379368000001 VALID
33 40 6.269234599999891 VALID
34 41 300.03887180000015 VALID
35 40 210.03952470000013 VALID
36 40 12.019830600000205 VALID
37 62 300.04313490000004 VALID
38 62 300.8373268 VALID
39 61 300.0316421000002 VALID
40 108 300.0687449000002 VALID

- - -
 Test : 2022-12-05 10:51:35.926637
37 64 15.491355000000002 VALID
38 77 1.7464002999999977 VALID
39 79 1.0441512999999993 VALID
40 529 2.6309698999999966 VALID

- - -
 Test : 2022-12-06 12:41:18.390534 AUTO
1 8 0.014616799999999985 VALID
2 9 0.008664500000000075 VALID
3 10 0.009886500000000131 VALID
4 11 0.03870220000000013 VALID
5 12 0.04906580000000016 VALID
6 13 0.025339900000000082 VALID
7 14 0.04721069999999994 VALID
8 15 0.06619049999999982 VALID
9 16 0.23070309999999994 VALID
10 17 0.21761509999999973 VALID
11 18 0.9884921000000002 VALID
12 19 1.7238096 VALID
13 20 1.0898659000000004 VALID
14 21 3.3765759000000006 VALID
15 22 5.927792 VALID
16 23 19.829300200000002 VALID
17 24 7.000939299999999 VALID
18 25 19.4644994 VALID
19 27 300.43103740000004 VALID
20 27 95.46349700000002 VALID
21 29 300.7377551 VALID
22 29 106.01243820000002 VALID
23 30 9.895959999999945 VALID
24 31 13.490643200000022 VALID
25 33 300.6448038 VALID
26 34 300.51678879999986 VALID
27 34 11.429334700000027 VALID
28 35 16.328049700000065 VALID
29 36 94.87211989999992 VALID
30 39 300.126176 VALID
31 38 11.421686399999999 VALID
32 41 300.0709188000003 VALID
33 40 13.511469399999896 VALID
34 41 300.2501946000002 VALID
35 41 300.1393165999998 VALID
